entity_id,legal_company_name,dba_name,parent_company,industry,naics_code,sic_code,executive_name,executive_title,verified_phone,verified_email,website,operational_address,city,county_region,state_province,country,employee_estimate,revenue_range,founded_date,digital_footprint_score,tech_stack,operational_bottleneck,recurring_service_dependencies,probable_vendor_spend,infrastructure_dependencies,ai_automation_opportunity,ai_opportunity_score_pct,recurring_revenue_potential,sovereign_target_tier,data_enrichment_date,source
ENT-00010,ProClean Co.,ProClean Services,Independent,Janitorial & Facilities Maintenance,561720,7349,Ashley Moore,Managing Director,(713) 631-1188,moore@procleanco.biz,https://www.procleanco.com,"6266 Commerce Dr, Baytown, TX",Baytown,Harris County,TX,US,151–300,$10M–$25M,2019-05-01,Very Weak (0–20),"Oracle ERP, Workday, Tableau",Employee onboarding takes 2+ weeks due to paper forms,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$300K–$500K/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Payroll automation, time-tracking integration, HR onboarding workflows",99,"$7,500/mo",Tier 4 — Watch List,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00013,Stellar Maintenance Solutions,Stellar Maintenance Services,Stellar Maintenance Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Barbara White,President,(480) 337-2795,white@stellarmaint.biz,https://www.stellarmaintena.com,"4641 Business Pkwy, Chandler, AZ",Chandler,Maricopa County,AZ,US,751–1500,$250K–$500K,2019-10-01,Weak (21–40),"Oracle ERP, Workday, Tableau",Compliance documentation done manually — audit risk,"Monthly IT support, quarterly infrastructure review, annual security audit",$300K–$500K/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","Route optimization, fleet telemetry integration, automated dispatch",99,"$7,500/mo",Tier 4 — Watch List,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00035,Elite Janitorial Partners,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Chen Martin,Executive Director,(03) 493-5486,martin@elitejanitor.com,https://www.elitejanitorial.com,"2507 Harbor Blvd, Ballarat, VIC",Ballarat,Greater Melbourne,VIC,AU,16–30,$100M+,2018-06-01,Strong (61–80),"NetSuite, Zendesk, Asana",No CRM — all client data in owner's personal phone,"Monthly IT support, quarterly infrastructure review, annual security audit",$75K–$150K/yr,"Relies on 3 major vendors: cleaning supply distributor, equipment leasing company, staffing agency","Customer service chatbot, ticket routing, SLA monitoring",99,"$2,500/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00071,Pristine Enterprises,Pristine Pro,Independent,Janitorial & Facilities Maintenance,561720,7349,David Hill,Founder,(213) 975-4087,hill@pristineente.net,https://www.pristineenterpr.com,"3832 Harbor Blvd, Glendale, CA",Glendale,Los Angeles County,CA,US,31–75,$50M–$100M,2021-05-01,Strong (61–80),"Zoho CRM, FreshBooks, Trello",No digital presence — relying on word-of-mouth only,"Quarterly compliance review, annual environmental audit, monthly monitoring",$5K–$25K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Procurement automation, vendor comparison, contract renewal tracking",99,"$7,500/mo",Tier 2 — 30-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00188,Vanguard Removal Services,Vanguard Removal Pro,Independent,Commercial Hauling & Debris Removal,562111,4953,Dorothy Thomas,General Manager,(404) 669-4023,thomas@vanguardremo.com,https://www.vanguardremoval.com,"5956 Innovation Way, Atlanta, GA",Atlanta,Fulton County,GA,US,31–75,$5M–$10M,2021-03-01,Moderate (41–60),"Xero, HubSpot, Slack",Paper-based invoicing with 45+ day collection cycles,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$25K–$75K/yr,"Dependent on AI platform provider, data infrastructure vendor, integration partner","Invoice automation, scheduling optimization, customer follow-up sequences",99,"$7,500/mo",Tier 2 — 30-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00382,Delta Logistics Solutions,N/A,Independent,Fleet Logistics & Transportation,484110,4213,Singh Taylor,Director of Operations,(216) 419-6866,taylor@deltalogisti.co,https://www.deltalogisticss.com,"9831 Main St, Lakewood, OH",Lakewood,Cuyahoga County,OH,US,16–30,$25M–$50M,2021-10-01,Very Weak (0–20),"SAP, Salesforce, ServiceNow",Procurement done via email — no vendor comparison system,"Monthly AI model updates, quarterly automation review, annual system audit",$5K–$25K/yr,"Relies on 3 major vendors: cleaning supply distributor, equipment leasing company, staffing agency","Customer service chatbot, ticket routing, SLA monitoring",99,"$25,000/mo",Tier 4 — Watch List,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00389,Patriot Logistics LLC,N/A,Independent,Fleet Logistics & Transportation,484110,4213,Patricia Martin,General Manager,(954) 608-5565,martin@patriotlogis.net,https://www.patriotlogistic.com,"6388 Washington Blvd, Miami, FL",Miami,Miami-Dade County,FL,US,1500+,$500K–$1M,2018-08-01,Very Weak (0–20),"Xero, HubSpot, Slack",Outdated legacy software incompatible with modern integrations,"Monthly IT support, quarterly infrastructure review, annual security audit",$75K–$150K/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","Route optimization, fleet telemetry integration, automated dispatch",99,"$2,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00505,Atlas Automation Industries,N/A,Independent,AI & Automation Consulting,541512,7372,Anthony Roberts,CEO,(720) 684-6796,roberts@atlasautomat.org,https://www.atlasautomation.com,"4565 Harbor Blvd, Lakewood, CO",Lakewood,Denver County,CO,US,16–30,$50K–$250K,2018-07-01,Weak (21–40),"Custom legacy system, Excel-heavy",Fleet dispatched via phone calls — no real-time visibility,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$2.5M+/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Accounts receivable automation, payment reminders, collections workflows",99,"$5,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00586,Apex Automation Services,N/A,Apex Automation Holdings Corp.,AI & Automation Consulting,541512,7372,Thomas Adams,Executive Director,(510) 936-1890,adams@apexautomati.net,https://www.apexautomations.com,"4957 Maple Dr, Folsom, CA",Folsom,Sacramento County,CA,US,6–15,$100M+,2022-06-01,Strong (61–80),"ServiceTitan, Google Workspace",Manual payroll processing with frequent errors,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$150K–$300K/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Procurement automation, vendor comparison, contract renewal tracking",99,"$15,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00630,Delta Networks LLC,N/A,Independent,IT Infrastructure & Managed Services,541513,7374,Mark Moore,Chief Operating Officer,(213) 775-5304,moore@deltanetwork.net,https://www.deltanetworksll.com,"2271 Technology Dr, Chula Vista, CA",Chula Vista,San Diego County,CA,US,151–300,$50K–$250K,2021-09-01,Weak (21–40),"QuickBooks Desktop, email-only CRM",Outdated legacy software incompatible with modern integrations,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$1M–$2.5M/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Procurement automation, vendor comparison, contract renewal tracking",99,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
