entity_id,legal_company_name,dba_name,parent_company,industry,naics_code,sic_code,executive_name,executive_title,verified_phone,verified_email,website,operational_address,city,county_region,state_province,country,employee_estimate,revenue_range,founded_date,digital_footprint_score,tech_stack,operational_bottleneck,recurring_service_dependencies,probable_vendor_spend,infrastructure_dependencies,ai_automation_opportunity,ai_opportunity_score_pct,recurring_revenue_potential,sovereign_target_tier,data_enrichment_date,source
ENT-00001,BrightStar Systems,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Donald Thomas,Managing Director,(408) 401-8226,thomas@brightstarsy.org,https://www.brightstarsyste.com,"2619 Market St, Vacaville, CA",Vacaville,Solano County,CA,US,16–30,$25M–$50M,2020-10-01,Very Strong (81–100),"Oracle ERP, Workday, Tableau",Manual payroll processing with frequent errors,"Annual painting contract, bi-annual touch-up, monthly inspection",$1M–$2.5M/yr,"Tied to hardware vendor, network provider, cybersecurity firm","Invoice automation, scheduling optimization, customer follow-up sequences",89,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00002,CleanPro Services,CleanPro Pro,Independent,Janitorial & Facilities Maintenance,561720,7349,Jamal Baker,President,(415) 843-4421,baker@cleanproserv.com,https://www.cleanproservice.com,"1642 Business Pkwy, Elk Grove, CA",Elk Grove,Sacramento County,CA,US,16–30,$25M–$50M,2021-10-01,Strong (61–80),"Custom legacy system, Excel-heavy",Outdated legacy software incompatible with modern integrations,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$75K–$150K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Compliance document generation, permit renewal alerts, audit trail automation",62,"$25,000/mo",Tier 4 — Watch List,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00004,Elite Janitorial Partners,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Richard Scott,Partner,(213) 834-2322,scott@elitejanitor.com,https://www.elitejanitorial.com,"8601 Main St, Richmond, CA",Richmond,Contra Costa County,CA,US,751–1500,$50M–$100M,2024-10-01,Strong (61–80),"Custom legacy system, Excel-heavy",Outdated legacy software incompatible with modern integrations,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$75K–$150K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Predictive maintenance scheduling, equipment lifecycle tracking",67,"$7,500/mo",Tier 2 — 30-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00006,Stellar Maintenance Inc.,Stellar Maintenance Services,Independent,Janitorial & Facilities Maintenance,561720,7349,Sandra Jackson,Managing Director,(707) 780-9112,jackson@stellarmaint.org,https://www.stellarmaintena.com,"6458 Technology Dr, Concord, CA",Concord,Contra Costa County,CA,US,751–1500,$250K–$500K,2023-12-01,Very Strong (81–100),"QuickBooks Desktop, email-only CRM",Paper-based invoicing with 45+ day collection cycles,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$75K–$150K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Predictive maintenance scheduling, equipment lifecycle tracking",87,"$15,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00008,Premier Facilities Consulting,N/A,Premier Facilities Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Patricia Wright,Principal,(213) 669-1150,wright@premierfacil.co,https://www.premierfaciliti.com,"6778 Business Pkwy, Mill Valley, CA",Mill Valley,Marin County,CA,US,751–1500,$25M–$50M,2021-09-01,Very Weak (0–20),"Sage 50, Outlook, Teams",Compliance documentation done manually — audit risk,"Quarterly compliance review, annual environmental audit, monthly monitoring",$25K–$75K/yr,"Tied to hardware vendor, network provider, cybersecurity firm","Bid response automation, RFP parsing, proposal assembly",69,"$25,000/mo",Tier 2 — 30-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00011,Apex Clean Partners,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Charles Jones,General Manager,(213) 789-5629,jones@apexcleanpar.biz,https://www.apexcleanpartne.com,"6108 Oak Ave, Santa Rosa, CA",Santa Rosa,Sonoma County,CA,US,76–150,$2.5M–$5M,2022-07-01,Strong (61–80),"Paper-based, minimal digital",No automated follow-up — losing repeat business,"Quarterly compliance review, annual environmental audit, monthly monitoring",$1M–$2.5M/yr,"Tied to parts supplier, refrigerant vendor, certification body","Accounts receivable automation, payment reminders, collections workflows",44,"$25,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00014,Premier Facilities Group,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Matthew Mitchell,CEO,(916) 881-2612,mitchell@premierfacil.net,https://www.premierfaciliti.com,"4243 Innovation Way, Torrance, CA",Torrance,Los Angeles County,CA,US,76–150,$1M–$2.5M,2022-03-01,Strong (61–80),"ServiceTitan, Google Workspace",Outdated legacy software incompatible with modern integrations,"Monthly AI model updates, quarterly automation review, annual system audit",$5K–$25K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Customer service chatbot, ticket routing, SLA monitoring",76,"$7,500/mo",Tier 2 — 30-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00018,Spotless LLC,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Rodriguez Flores,Managing Director,(510) 656-9834,flores@spotlessllc.net,https://www.spotlessllc.com,"6407 Business Pkwy, Mill Valley, CA",Mill Valley,Marin County,CA,US,301–750,$5M–$10M,2023-04-01,Very Strong (81–100),"ServiceTitan, Google Workspace",Employee onboarding takes 2+ weeks due to paper forms,"Monthly AI model updates, quarterly automation review, annual system audit",$1M–$2.5M/yr,"Tied to paint manufacturer, equipment rental, safety compliance vendor","Accounts receivable automation, payment reminders, collections workflows",96,"$10,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00020,Stellar Maintenance LLC,Stellar Maintenance Services,Independent,Janitorial & Facilities Maintenance,561720,7349,Ashley Baker,Owner,(510) 898-8663,baker@stellarmaint.biz,https://www.stellarmaintena.com,"422 Commerce Dr, Fairfield, CA",Fairfield,Solano County,CA,US,301–750,$100M+,2018-08-01,Very Weak (0–20),"BuilderTrend, Procore, DocuSign",No automated follow-up — losing repeat business,"Quarterly records audit, annual digitization project, monthly shredding",$25K–$75K/yr,"Relies on 3 major vendors: cleaning supply distributor, equipment leasing company, staffing agency","Compliance document generation, permit renewal alerts, audit trail automation",73,"$2,500/mo",Tier 4 — Watch List,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00024,CleanPro Solutions,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Linda Harris,CEO,(619) 633-8658,harris@cleanprosolu.net,https://www.cleanprosolutio.com,"2173 Harbor Blvd, Chula Vista, CA",Chula Vista,San Diego County,CA,US,751–1500,$50K–$250K,2021-07-01,Moderate (41–60),"Custom legacy system, Excel-heavy",No CRM — all client data in owner's personal phone,"Monthly janitorial contract, quarterly deep clean, annual inspection",$25K–$75K/yr,"Relies on 3 major vendors: cleaning supply distributor, equipment leasing company, staffing agency","Bid response automation, RFP parsing, proposal assembly",80,"$5,000/mo",Tier 3 — 90-Day Pipeline,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
