entity_id,legal_company_name,dba_name,parent_company,industry,naics_code,sic_code,executive_name,executive_title,verified_phone,verified_email,website,operational_address,city,county_region,state_province,country,employee_estimate,revenue_range,founded_date,digital_footprint_score,tech_stack,operational_bottleneck,recurring_service_dependencies,probable_vendor_spend,infrastructure_dependencies,ai_automation_opportunity,ai_opportunity_score_pct,recurring_revenue_potential,sovereign_target_tier,data_enrichment_date,source
ENT-00001,BrightStar Systems,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Donald Thomas,Managing Director,(408) 401-8226,thomas@brightstarsy.org,https://www.brightstarsyste.com,"2619 Market St, Vacaville, CA",Vacaville,Solano County,CA,US,16–30,$25M–$50M,2020-10-01,Very Strong (81–100),"Oracle ERP, Workday, Tableau",Manual payroll processing with frequent errors,"Annual painting contract, bi-annual touch-up, monthly inspection",$1M–$2.5M/yr,"Tied to hardware vendor, network provider, cybersecurity firm","Invoice automation, scheduling optimization, customer follow-up sequences",89,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00022,Apex Clean Corp.,Apex Clean Services,Independent,Janitorial & Facilities Maintenance,561720,7349,DeShawn Williams,CEO,(0121) 957-9639,williams@apexcleancor.org,https://www.apexcleancorp.com,"2747 Oak Ave, Birmingham, ENG",Birmingham,West Midlands,ENG,UK,31–75,$25M–$50M,2024-04-01,Weak (21–40),"Xero, HubSpot, Slack",Manual scheduling causing double-bookings and missed appointments,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$1M–$2.5M/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","Customer service chatbot, ticket routing, SLA monitoring",69,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00028,CleanPro Services,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Mark Harris,Chief Operating Officer,(310) 983-1133,harris@cleanproserv.net,https://www.cleanproservice.com,"461 Oak Ave, Oceanside, CA",Oceanside,San Diego County,CA,US,76–150,$10M–$25M,2021-06-01,Very Strong (81–100),"FieldEdge, QuickBooks Online",Manual scheduling causing double-bookings and missed appointments,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$75K–$150K/yr,"Relies on 3 major vendors: cleaning supply distributor, equipment leasing company, staffing agency","Accounts receivable automation, payment reminders, collections workflows",98,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00034,ProClean Systems,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Robert Johnson,President,(0121) 327-5992,johnson@procleansyst.biz,https://www.procleansystems.com,"9605 Enterprise Ave, Wolverhampton, ENG",Wolverhampton,West Midlands,ENG,UK,76–150,$10M–$25M,2022-07-01,Weak (21–40),"FieldEdge, QuickBooks Online",Manual payroll processing with frequent errors,"Annual painting contract, bi-annual touch-up, monthly inspection",$150K–$300K/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","Records digitization, OCR processing, document classification AI",89,"$2,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00036,Elite Janitorial Co.,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Thomas Roberts,Partner,(305) 381-5670,roberts@elitejanitor.com,https://www.elitejanitorial.com,"3493 Airport Rd, Miami, FL",Miami,Miami-Dade County,FL,US,31–75,$5M–$10M,2021-02-01,Strong (61–80),"QuickBooks, Google Workspace, Jobber",Financial reporting delayed 30+ days after month end,"Annual painting contract, bi-annual touch-up, monthly inspection",$300K–$500K/yr,"Tied to parts supplier, refrigerant vendor, certification body","Compliance document generation, permit renewal alerts, audit trail automation",86,"$5,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00038,Spotless Enterprises,Spotless Services,Independent,Janitorial & Facilities Maintenance,561720,7349,Anthony Carter,Founder,(916) 484-6711,carter@spotlessente.biz,https://www.spotlessenterpr.com,"1424 Industrial Blvd, San Francisco, CA",San Francisco,San Francisco County,CA,US,1–5,$50M–$100M,2020-12-01,Weak (21–40),"Zoho CRM, FreshBooks, Trello",Financial reporting delayed 30+ days after month end,"Annual painting contract, bi-annual touch-up, monthly inspection",$2.5M+/yr,"Tied to parts supplier, refrigerant vendor, certification body","Predictive maintenance scheduling, equipment lifecycle tracking",49,"$15,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00039,Spotless Corp.,Spotless Services,Spotless Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Kimberly Davis,Executive Director,(213) 390-9166,davis@spotlesscorp.biz,https://www.spotlesscorp.com,"4064 Main St, Elk Grove, CA",Elk Grove,Sacramento County,CA,US,301–750,$250K–$500K,2019-02-01,Weak (21–40),"FieldEdge, QuickBooks Online",No automated follow-up — losing repeat business,"Monthly HVAC service, seasonal tune-up, annual system replacement cycle",$1M–$2.5M/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Predictive maintenance scheduling, equipment lifecycle tracking",95,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00042,ProClean Consulting,ProClean Pro,Independent,Janitorial & Facilities Maintenance,561720,7349,Ashley Garcia,Owner,(510) 684-1622,garcia@procleancons.com,https://www.procleanconsult.com,"5744 Innovation Way, Pittsburg, CA",Pittsburg,Contra Costa County,CA,US,6–15,$50K–$250K,2020-02-01,Very Weak (0–20),"QuickBooks, Google Workspace, Jobber",No automated follow-up — losing repeat business,"Annual painting contract, bi-annual touch-up, monthly inspection",$150K–$300K/yr,"Tied to paint manufacturer, equipment rental, safety compliance vendor","Automated reporting dashboards, KPI alerts, executive summaries",47,"$2,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00043,Apex Clean Corp.,Apex Clean Pro,Independent,Janitorial & Facilities Maintenance,561720,7349,Robert Torres,Founder,(408) 305-4773,torres@apexcleancor.co,https://www.apexcleancorp.com,"9927 Main St, Los Angeles, CA",Los Angeles,Los Angeles County,CA,US,301–750,$100M+,2020-05-01,Weak (21–40),"Sage 50, Outlook, Teams",Financial reporting delayed 30+ days after month end,"Monthly IT support, quarterly infrastructure review, annual security audit",$300K–$500K/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Route optimization, fleet telemetry integration, automated dispatch",50,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00047,Apex Clean Corp.,N/A,National Corp. Group,Janitorial & Facilities Maintenance,561720,7349,Thomas White,Director of Operations,(415) 828-7486,white@apexcleancor.co,https://www.apexcleancorp.com,"1687 Business Pkwy, Petaluma, CA",Petaluma,Sonoma County,CA,US,6–15,$50M–$100M,2024-02-01,Very Weak (0–20),"QuickBooks Desktop, email-only CRM",Manual scheduling causing double-bookings and missed appointments,"Daily freight routes, weekly fleet servicing, monthly route optimization",$500K–$1M/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Accounts receivable automation, payment reminders, collections workflows",59,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00051,Stellar Maintenance Consulting,N/A,Stellar Maintenance Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Linda Roberts,Owner,(817) 792-1453,roberts@stellarmaint.net,https://www.stellarmaintena.com,"2629 Oak Ave, Pasadena, TX",Pasadena,Harris County,TX,US,151–300,$50M–$100M,2019-09-01,Weak (21–40),"BuilderTrend, Procore, DocuSign",Outdated legacy software incompatible with modern integrations,"Monthly AI model updates, quarterly automation review, annual system audit",$500K–$1M/yr,"Tied to paint manufacturer, equipment rental, safety compliance vendor","Predictive maintenance scheduling, equipment lifecycle tracking",52,"$2,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00059,Apex Clean LLC,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Singh Young,Founder,(619) 528-6994,young@apexcleanllc.org,https://www.apexcleanllc.com,"5582 Technology Dr, Hayward, CA",Hayward,Alameda County,CA,US,6–15,$250K–$500K,2018-11-01,Strong (61–80),"Paper-based, minimal digital",No CRM — all client data in owner's personal phone,"Monthly AI model updates, quarterly automation review, annual system audit",$500K–$1M/yr,"Tied to parts supplier, refrigerant vendor, certification body","Accounts receivable automation, payment reminders, collections workflows",95,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00061,Apex Clean Associates,Apex Clean Pro,National Associates Group,Janitorial & Facilities Maintenance,561720,7349,David Davis,Principal,(416) 548-3869,davis@apexcleanass.org,https://www.apexcleanassoci.com,"4949 Innovation Way, Markham, ON",Markham,Greater Toronto Area,ON,CA,1500+,$500K–$1M,2023-12-01,Very Strong (81–100),"Xero, HubSpot, Slack",Outdated legacy software incompatible with modern integrations,"Monthly janitorial contract, quarterly deep clean, annual inspection",$2.5M+/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Invoice automation, scheduling optimization, customer follow-up sequences",73,"$5,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00063,Elite Janitorial Solutions,N/A,National Solutions Group,Janitorial & Facilities Maintenance,561720,7349,Linda Johnson,Director of Operations,(03) 392-8317,johnson@elitejanitor.co,https://www.elitejanitorial.com,"633 Washington Blvd, Geelong, VIC",Geelong,Greater Melbourne,VIC,AU,1500+,$100M+,2020-03-01,Moderate (41–60),"Sage 50, Outlook, Teams",No digital presence — relying on word-of-mouth only,"Annual painting contract, bi-annual touch-up, monthly inspection",$5K–$25K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Accounts receivable automation, payment reminders, collections workflows",53,"$5,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00066,Premier Facilities Associates,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Donald Hill,Managing Director,(210) 750-4438,hill@premierfacil.org,https://www.premierfaciliti.com,"9064 Technology Dr, Houston, TX",Houston,Harris County,TX,US,31–75,$250K–$500K,2018-09-01,Strong (61–80),"Paper-based, minimal digital",No digital presence — relying on word-of-mouth only,"24/7 security patrol, monthly guard rotation, quarterly threat assessment",$150K–$300K/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Automated reporting dashboards, KPI alerts, executive summaries",61,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00068,ProClean Group,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,DeShawn Scott,Principal,(678) 211-5031,scott@procleangrou.co,https://www.procleangroup.com,"993 Technology Dr, Atlanta, GA",Atlanta,Fulton County,GA,US,16–30,$50M–$100M,2021-01-01,Moderate (41–60),"SAP, Salesforce, ServiceNow",Compliance documentation done manually — audit risk,"Annual painting contract, bi-annual touch-up, monthly inspection",$150K–$300K/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","AI-powered lead scoring, CRM enrichment, automated proposal generation",66,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00069,Pristine LLC,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Sandra Thompson,Principal,(734) 757-9629,thompson@pristinellc.biz,https://www.pristinellc.com,"5064 Innovation Way, Detroit, MI",Detroit,Wayne County,MI,US,301–750,$10M–$25M,2021-12-01,Very Strong (81–100),"ServiceTitan, Google Workspace",Financial reporting delayed 30+ days after month end,"Monthly AI model updates, quarterly automation review, annual system audit",$25K–$75K/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Invoice automation, scheduling optimization, customer follow-up sequences",98,"$15,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00070,BrightStar Co.,N/A,National Co. Group,Janitorial & Facilities Maintenance,561720,7349,Joseph Moore,Partner,(415) 221-8556,moore@brightstarco.biz,https://www.brightstarco.com,"1025 Airport Rd, Walnut Creek, CA",Walnut Creek,Contra Costa County,CA,US,16–30,$1M–$2.5M,2018-05-01,Moderate (41–60),"Microsoft 365, Dynamics 365, Power BI",Paper-based invoicing with 45+ day collection cycles,"Monthly janitorial contract, quarterly deep clean, annual inspection",$75K–$150K/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Invoice automation, scheduling optimization, customer follow-up sequences",80,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00072,CleanPro Systems,N/A,CleanPro Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Joseph Adams,Executive Director,(020) 785-5389,adams@cleanprosyst.org,https://www.cleanprosystems.com,"9147 Harbor Blvd, Croydon, ENG",Croydon,Greater London,ENG,UK,1500+,$50M–$100M,2020-01-01,Strong (61–80),"Sage 50, Outlook, Teams",Compliance documentation done manually — audit risk,"Quarterly compliance review, annual environmental audit, monthly monitoring",$5K–$25K/yr,"Dependent on GPS/telematics provider, fuel card network, DOT compliance firm","Payroll automation, time-tracking integration, HR onboarding workflows",47,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00074,Premier Facilities Inc.,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Charles Wright,Partner,(03) 595-9281,wright@premierfacil.co,https://www.premierfaciliti.com,"2474 Maple Dr, Melbourne, VIC",Melbourne,Greater Melbourne,VIC,AU,151–300,$25M–$50M,2024-01-01,Very Strong (81–100),"Oracle ERP, Workday, Tableau",No CRM — all client data in owner's personal phone,"Quarterly compliance review, annual environmental audit, monthly monitoring",$5K–$25K/yr,"Dependent on guard licensing authority, background check vendor, uniform supplier","Automated reporting dashboards, KPI alerts, executive summaries",75,"$2,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00076,Elite Janitorial Inc.,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Singh Wilson,Director of Operations,(020) 726-1681,wilson@elitejanitor.net,https://www.elitejanitorial.com,"4906 Enterprise Ave, Birmingham, ENG",Birmingham,West Midlands,ENG,UK,1500+,$500K–$1M,2024-05-01,Very Weak (0–20),"Verizon Connect, Samsara GPS, Excel",Compliance documentation done manually — audit risk,"Weekly debris removal, monthly fleet maintenance, quarterly compliance audit",$300K–$500K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Records digitization, OCR processing, document classification AI",96,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00080,CleanPro Inc.,CleanPro Services,Independent,Janitorial & Facilities Maintenance,561720,7349,Barbara Scott,General Manager,(216) 851-4721,scott@cleanproinc.biz,https://www.cleanproinc.com,"4060 Main St, Lakewood, OH",Lakewood,Cuyahoga County,OH,US,751–1500,$2.5M–$5M,2021-08-01,Moderate (41–60),"Zoho CRM, FreshBooks, Trello",Manual payroll processing with frequent errors,"Monthly janitorial contract, quarterly deep clean, annual inspection",$1M–$2.5M/yr,"Tied to paint manufacturer, equipment rental, safety compliance vendor","Procurement automation, vendor comparison, contract renewal tracking",45,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00090,Stellar Maintenance Enterprises,N/A,Independent,Janitorial & Facilities Maintenance,561720,7349,Sandra Davis,Chief Operating Officer,(02) 528-6165,davis@stellarmaint.co,https://www.stellarmaintena.com,"4372 Washington Blvd, Liverpool, NSW",Liverpool,Greater Sydney,NSW,AU,301–750,$5M–$10M,2021-03-01,Strong (61–80),"NetSuite, Zendesk, Asana",Compliance documentation done manually — audit risk,"Quarterly records audit, annual digitization project, monthly shredding",$500K–$1M/yr,"Dependent on AI platform provider, data infrastructure vendor, integration partner","Records digitization, OCR processing, document classification AI",90,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00093,ProClean Industries,N/A,ProClean Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Sarah Roberts,Partner,(408) 299-4919,roberts@procleanindu.co,https://www.procleanindustr.com,"3219 Main St, Suisun City, CA",Suisun City,Solano County,CA,US,76–150,$50M–$100M,2018-11-01,Very Weak (0–20),"Xero, HubSpot, Slack",Procurement done via email — no vendor comparison system,"Monthly AI model updates, quarterly automation review, annual system audit",$1M–$2.5M/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Compliance document generation, permit renewal alerts, audit trail automation",68,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00094,Apex Clean Inc.,Apex Clean Pro,Independent,Janitorial & Facilities Maintenance,561720,7349,Barbara Harris,Principal,(415) 823-5770,harris@apexcleaninc.co,https://www.apexcleaninc.com,"1176 Washington Blvd, San Francisco, CA",San Francisco,San Francisco County,CA,US,6–15,$25M–$50M,2023-08-01,Moderate (41–60),"Microsoft 365, Dynamics 365, Power BI",Outdated legacy software incompatible with modern integrations,"Monthly HVAC service, seasonal tune-up, annual system replacement cycle",$75K–$150K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Bid response automation, RFP parsing, proposal assembly",67,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00096,CleanPro Group,N/A,CleanPro Holdings Corp.,Janitorial & Facilities Maintenance,561720,7349,Patricia Williams,President,(303) 423-1881,williams@cleanprogrou.org,https://www.cleanprogroup.com,"3211 Enterprise Ave, Lakewood, CO",Lakewood,Denver County,CO,US,31–75,$50M–$100M,2020-01-01,Moderate (41–60),"NetSuite, Zendesk, Asana",Manual payroll processing with frequent errors,"Quarterly compliance review, annual environmental audit, monthly monitoring",$1M–$2.5M/yr,"Tied to parts supplier, refrigerant vendor, certification body","Compliance document generation, permit renewal alerts, audit trail automation",58,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00097,Elite Janitorial Enterprises,N/A,National Enterprises Group,Janitorial & Facilities Maintenance,561720,7349,Nguyen Rivera,President,(619) 310-8254,rivera@elitejanitor.org,https://www.elitejanitorial.com,"1314 Lincoln Ave, Richmond, CA",Richmond,Contra Costa County,CA,US,6–15,$10M–$25M,2019-06-01,Weak (21–40),"FieldEdge, QuickBooks Online",No CRM — all client data in owner's personal phone,"Monthly IT support, quarterly infrastructure review, annual security audit",$2.5M+/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Payroll automation, time-tracking integration, HR onboarding workflows",50,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00105,Titan Debris Inc.,N/A,Titan Debris Holdings Corp.,Commercial Hauling & Debris Removal,562111,4953,Charles Roberts,Partner,(734) 460-5523,roberts@titandebrisi.biz,https://www.titandebrisinc.com,"6809 Lincoln Ave, Dearborn, MI",Dearborn,Wayne County,MI,US,1500+,$50K–$250K,2018-02-01,Very Weak (0–20),"Zoho CRM, FreshBooks, Trello",No automated follow-up — losing repeat business,"Daily freight routes, weekly fleet servicing, monthly route optimization",$300K–$500K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Accounts receivable automation, payment reminders, collections workflows",51,"$15,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00109,Delta Hauling Group,N/A,Independent,Commercial Hauling & Debris Removal,562111,4953,Garcia Williams,President,(720) 302-2726,williams@deltahauling.com,https://www.deltahaulinggro.com,"7292 Industrial Blvd, Lakewood, CO",Lakewood,Denver County,CO,US,1–5,$250K–$500K,2024-01-01,Moderate (41–60),"Custom legacy system, Excel-heavy",Employee onboarding takes 2+ weeks due to paper forms,"Quarterly records audit, annual digitization project, monthly shredding",$75K–$150K/yr,"Relies on document storage facility, scanning equipment vendor, cloud storage provider","Bid response automation, RFP parsing, proposal assembly",40,"$7,500/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00111,Titan Debris Corp.,N/A,Independent,Commercial Hauling & Debris Removal,562111,4953,Robert Miller,CEO,(214) 231-2996,miller@titandebrisc.net,https://www.titandebriscorp.com,"152 Innovation Way, Pearland, TX",Pearland,Harris County,TX,US,151–300,$250K–$500K,2020-06-01,Very Strong (81–100),"Custom legacy system, Excel-heavy",Employee onboarding takes 2+ weeks due to paper forms,"Monthly janitorial contract, quarterly deep clean, annual inspection",$150K–$300K/yr,"Dependent on AI platform provider, data infrastructure vendor, integration partner","Accounts receivable automation, payment reminders, collections workflows",92,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00116,Apex Removal Industries,N/A,Independent,Commercial Hauling & Debris Removal,562111,4953,Kimberly Miller,Managing Director,(623) 742-3385,miller@apexremovali.org,https://www.apexremovalindu.com,"4517 Lincoln Ave, Phoenix, AZ",Phoenix,Maricopa County,AZ,US,751–1500,$50M–$100M,2023-02-01,Moderate (41–60),"QuickBooks Desktop, email-only CRM",No CRM — all client data in owner's personal phone,"Quarterly compliance review, annual environmental audit, monthly monitoring",$75K–$150K/yr,"Tied to hardware vendor, network provider, cybersecurity firm","Records digitization, OCR processing, document classification AI",67,"$25,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00118,Titan Debris Systems,Titan Debris Services,Titan Debris Holdings Corp.,Commercial Hauling & Debris Removal,562111,4953,Matthew Nelson,Chief Operating Officer,(408) 743-4706,nelson@titandebriss.com,https://www.titandebrissyst.com,"5427 Airport Rd, Napa, CA",Napa,Napa County,CA,US,1500+,$100M+,2018-04-01,Strong (61–80),"Custom legacy system, Excel-heavy",No automated follow-up — losing repeat business,"Annual painting contract, bi-annual touch-up, monthly inspection",$150K–$300K/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Accounts receivable automation, payment reminders, collections workflows",48,"$5,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00124,Delta Hauling Co.,Delta Hauling Pro,Delta Hauling Holdings Corp.,Commercial Hauling & Debris Removal,562111,4953,Patricia Harris,Partner,(817) 604-4841,harris@deltahauling.co,https://www.deltahaulingco.com,"1076 Harbor Blvd, Pasadena, TX",Pasadena,Harris County,TX,US,151–300,$1M–$2.5M,2018-06-01,Very Weak (0–20),"Microsoft 365, Dynamics 365, Power BI",No automated follow-up — losing repeat business,"Monthly IT support, quarterly infrastructure review, annual security audit",$2.5M+/yr,"Relies on environmental testing lab, waste disposal vendor, regulatory consultant","Bid response automation, RFP parsing, proposal assembly",78,"$15,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00129,Vanguard Removal Solutions,Vanguard Removal Pro,Vanguard Removal Holdings Corp.,Commercial Hauling & Debris Removal,562111,4953,Mark Hall,Chief Operating Officer,(925) 872-7080,hall@vanguardremo.com,https://www.vanguardremoval.com,"6883 Lincoln Ave, San Francisco, CA",San Francisco,San Francisco County,CA,US,751–1500,$10M–$25M,2020-10-01,Strong (61–80),"Paper-based, minimal digital",No CRM — all client data in owner's personal phone,"Monthly HVAC service, seasonal tune-up, annual system replacement cycle",$5K–$25K/yr,"Tied to hardware vendor, network provider, cybersecurity firm","Route optimization, fleet telemetry integration, automated dispatch",74,"$5,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
ENT-00130,Vanguard Removal Industries,N/A,Independent,Commercial Hauling & Debris Removal,562111,4953,Richard Jones,General Manager,(587) 777-7630,jones@vanguardremo.com,https://www.vanguardremoval.com,"9691 Lincoln Ave, Calgary, AB",Calgary,Calgary Region,AB,CA,6–15,$5M–$10M,2024-08-01,Very Weak (0–20),"SAP, Salesforce, ServiceNow",No digital presence — relying on word-of-mouth only,"Daily freight routes, weekly fleet servicing, monthly route optimization",$1M–$2.5M/yr,"Depends on fuel supplier, vehicle maintenance shop, insurance broker","Payroll automation, time-tracking integration, HR onboarding workflows",55,"$10,000/mo",Tier 1 — Immediate Target,2026-05-29,Prime Pathwy Entity Intelligence Engine v2.0
